payment_id,order_id,amount,status,customer,timestamp,refund_amount
pay_82e34685,ORD1020,5499,captured,"Meera Krishnan",2026-08-07T04:00:00.000Z,0
pay_241f4abc,ORD1089,24999,captured,"Pallavi Iyer",2026-08-14T09:00:00.000Z,0
pay_66b653e0,ORD1063,17999,captured,"Farah Khan",2026-08-27T02:00:00.000Z,0
pay_24155671,ORD1054,11249,captured,"Suresh Babu",2026-08-10T04:00:00.000Z,0
pay_76ce9ffb,ORD1072,17999,captured,"Nidhi Verma",2026-08-07T02:00:00.000Z,0
pay_cbbdfd79,ORD1093,5499,captured,"Vikram Singh",2026-08-26T04:00:00.000Z,0
pay_b0dda214,ORD1043,2499,captured,"Arjun Reddy",2026-08-05T08:00:00.000Z,0
pay_7e621430,ORD1120,6499,captured,"Priya Patel",2026-08-29T05:00:00.000Z,0
pay_647a26a5,ORD1114,3999,captured,"Shruti Kapoor",2026-08-07T09:00:00.000Z,0
pay_a07d790c,ORD1086,3499,captured,"Priya Patel",2026-09-01T05:00:00.000Z,0
pay_e1234dce,ORD1018,2999,captured,"Ishita Bose",2026-08-28T03:00:00.000Z,0
pay_ce603b6a,ORD1002,6499,captured,"Priya Patel",2026-08-05T10:00:00.000Z,0
pay_11a1590b,ORD1085,899,captured,"Karan Malhotra",2026-08-15T06:00:00.000Z,0
pay_9fbc2295,ORD1007,9499,captured,"Ishita Bose",2026-08-31T04:00:00.000Z,0
pay_a1508c82,ORD1044,499,captured,"Divya Menon",2026-08-23T00:00:00.000Z,0
pay_5f2543c2,ORD1121,3999,captured,"Sanjay Das",2026-08-20T05:00:00.000Z,0
pay_cee28a00,ORD1011,12499,captured,"Harsha Vardhan",2026-08-26T07:00:00.000Z,0
pay_087991a1,ORD1061,6999,captured,"Pooja Kulkarni",2026-08-31T01:00:00.000Z,0
pay_97722d90,ORD1069,999,captured,"Ananya Gupta",2026-09-01T09:00:00.000Z,0
pay_8e2a9910,ORD1103,24999,captured,"Pooja Kulkarni",2026-08-26T03:00:00.000Z,0
pay_f4f73b7a,ORD1075,13999,captured,"Pallavi Iyer",2026-08-09T06:00:00.000Z,0
pay_2b665bd3,ORD1051,2999,captured,"Amit Verma",2026-08-26T09:00:00.000Z,0
pay_e43617b7,ORD1068,9999,captured,"Amit Verma",2026-08-19T10:00:00.000Z,0
pay_0c35ed0d,ORD1111,4999,captured,"Gaurav Khanna",2026-08-16T04:00:00.000Z,0
pay_13729717,ORD1027,18999,captured,"Sanjay Das",2026-08-26T03:00:00.000Z,0
pay_ab99443b,ORD1006,3999,captured,"Shruti Kapoor",2026-08-18T08:00:00.000Z,0
pay_314ecafc,ORD1094,1749,captured,"Divya Menon",2026-08-29T05:00:00.000Z,0
pay_65209457,ORD1040,1299,captured,"Nikhil Joshi",2026-08-23T06:00:00.000Z,0
pay_b4dfba08,ORD1052,2150,captured,"Neha Agarwal",2026-08-06T06:00:00.000Z,0
pay_9832087b,ORD1015,1499,captured,"Manish Tiwari",2026-08-16T00:00:00.000Z,0
pay_72b280e8,ORD1058,6999,captured,"Ritu Saxena",2026-09-02T08:00:00.000Z,0
pay_d0f896c3,ORD1074,7999,captured,"Prakash Yadav",2026-08-14T05:00:00.000Z,0
pay_4e75336f,ORD1122,1999,captured,"Geeta Devi",2026-08-19T08:00:00.000Z,0
pay_ac08cc5b,ORD1037,5999,captured,"Shruti Kapoor",2026-08-24T04:00:00.000Z,0
pay_f1e50dd8,ORD1073,3299,captured,"Neha Agarwal",2026-08-17T11:00:00.000Z,0
pay_5351bc64,ORD1100,3499,captured,"Suresh Babu",2026-08-05T08:00:00.000Z,0
pay_6b73a6ce,ORD1039,2150,captured,"Rahul Sharma",2026-08-05T09:00:00.000Z,0
pay_f49f5a74,ORD1101,5999,captured,"Sneha Iyer",2026-08-11T08:00:00.000Z,0
pay_91ea05ad,ORD1095,13999,captured,"Ananya Gupta",2026-08-05T06:00:00.000Z,0
pay_2f2efa9b,ORD1117,7999,captured,"Shruti Kapoor",2026-08-29T00:00:00.000Z,0
pay_5ceb133e,ORD1080,14999,captured,"Aishwarya Nair",2026-08-08T06:00:00.000Z,0
pay_44e2c746,ORD1097,649,captured,"Ramesh Iyer",2026-08-30T07:00:00.000Z,0
pay_696e3219,ORD1012,649,captured,"Farah Khan",2026-08-26T04:00:00.000Z,0
pay_36bcc172,ORD1025,799,captured,"Ramesh Iyer",2026-08-11T01:00:00.000Z,0
pay_253d9983,ORD1038,1749,captured,"Karan Malhotra",2026-08-17T11:00:00.000Z,0
pay_5129295f,ORD1092,1299,captured,"Mohit Agarwal",2026-08-24T11:00:00.000Z,0
pay_5017773f,ORD1104,4499,captured,"Lakshmi Rao",2026-08-10T10:00:00.000Z,0
pay_a89b8d24,ORD1077,9499,captured,"Aishwarya Nair",2026-08-15T04:00:00.000Z,0
pay_6d2c376e,ORD1107,649,captured,"Tanya Bhatia",2026-09-02T05:00:00.000Z,0
pay_82d80513,ORD1109,5499,captured,"Rohan Mehta",2026-08-08T07:00:00.000Z,0
pay_cf05c7f0,ORD1022,11249,captured,"Ravi Shankar",2026-08-24T07:00:00.000Z,0
pay_c15377c1,ORD1026,8999,captured,"Arjun Reddy",2026-08-25T08:00:00.000Z,0
pay_e8f67aae,ORD1076,3299,captured,"Vikram Singh",2026-08-26T06:00:00.000Z,0
pay_2c6e8c9d,ORD1070,1499,captured,"Ananya Gupta",2026-08-24T07:00:00.000Z,0
pay_e662cd15,ORD1096,5499,captured,"Arjun Reddy",2026-08-27T08:00:00.000Z,0
